model,prompt_type,factor,partial_r2,chi2_cluster,p_cluster,n_rows,n_persona_clusters,dataset_scope,note
gemma,positive,age,0.0011191651349027167,97.03223753000891,8.505842504643717e-22,37800,5400,full_5400_persona,
qwen,positive,profession,0.11137738800652654,6671.471704943162,0.0,37800,5400,full_5400_persona,
qwen,positive,country,0.013332012070803492,746.4128905470043,5.169314495545049e-146,37800,5400,full_5400_persona,
qwen,positive,gender,0.1388895515354487,8489.922130441417,0.0,37800,5400,full_5400_persona,
qwen,positive,age,0.018915671350346684,1016.7210324437505,1.6666061778357957e-221,37800,5400,full_5400_persona,
ministral,positive,profession,0.09053727703898486,6487.358730348122,0.0,37800,5400,full_5400_persona,
ministral,positive,country,0.014678828220271674,1059.223909886347,1.1925916049404047e-212,37800,5400,full_5400_persona,
ministral,positive,gender,0.13066955157510785,10516.352688747089,0.0,37800,5400,full_5400_persona,
ministral,positive,age,0.023035213173032382,1691.1096395779264,0.0,37800,5400,full_5400_persona,
llama,negative_minor,profession,0.02695725088103777,1793.030344763401,0.0,37800,5400,full_5400_persona,
llama,negative_minor,country,0.023993827611835872,1820.9917981706276,0.0,37800,5400,full_5400_persona,
llama,negative_minor,gender,0.040681975921842646,3201.5437908019994,0.0,37800,5400,full_5400_persona,
llama,negative_minor,age,0.0005888386989987201,35.88615306376033,1.6122072649198066e-08,37800,5400,full_5400_persona,
gemma,negative_minor,profession,0.03086817823885545,2516.4932422440306,0.0,37800,5400,full_5400_persona,
gemma,negative_minor,country,0.014327181360159388,1155.6229817912604,2.9150920965348488e-233,37800,5400,full_5400_persona,
gemma,negative_minor,gender,0.04241907679515642,2903.4143946669906,0.0,37800,5400,full_5400_persona,
gemma,negative_minor,age,0.0023671424557366754,179.87183766505854,8.736283647062134e-40,37800,5400,full_5400_persona,
qwen,negative_minor,profession,0.16095019023251278,15745.330624891845,0.0,37800,5400,full_5400_persona,
qwen,negative_minor,country,0.012266379303627287,988.0050444185921,1.9276915792450274e-197,37800,5400,full_5400_persona,
qwen,negative_minor,gender,0.07823618362403847,6535.177105342201,0.0,37800,5400,full_5400_persona,
qwen,negative_minor,age,0.01818820503033065,1456.9593991603842,0.0,37800,5400,full_5400_persona,
ministral,negative_minor,profession,0.06122222137204866,4470.556100228346,0.0,37800,5400,full_5400_persona,
ministral,negative_minor,country,0.014128719942813618,1083.7623619905407,6.798581090994673e-218,37800,5400,full_5400_persona,
ministral,negative_minor,gender,0.11385409046427182,11702.282111004875,0.0,37800,5400,full_5400_persona,
ministral,negative_minor,age,0.019623007584734918,1466.6463385459542,0.0,37800,5400,full_5400_persona,
