level,coef_orig,coef_ctx,model,context,rank_orig,rank_label_orig,rank_ctx,rank_label_ctx
Italy,-1.8734878526339835,-1.1102230246251565e-16,deepseek,negative_minor,6.0,tied for rank 6,1.0,tied for rank 1
Japan,-2.1764325715779416,1.0547118733938987e-15,deepseek,negative_minor,10.0,rank 10,1.0,tied for rank 1
Mexico,-1.873487852633986,-1.6653345369377348e-15,deepseek,negative_minor,6.0,tied for rank 6,1.0,tied for rank 1
Morocco,-1.9131101170035585,,deepseek,negative_minor,7.0,rank 7,,not ranked
Nigeria,-1.9357557825239717,,deepseek,negative_minor,9.0,rank 9,,not ranked
Pakistan,-1.93108487343141,,deepseek,negative_minor,8.0,rank 8,,not ranked
Poland,-1.625429425195537,1.3877787807814457e-16,deepseek,negative_minor,4.0,rank 4,1.0,tied for rank 1
South Africa,-1.8734878526339835,,deepseek,negative_minor,6.0,tied for rank 6,,not ranked
South Korea,,9.43689570931383e-16,deepseek,negative_minor,,not ranked,1.0,tied for rank 1
Turkey,-1.2528553217206575,1.9845236565174673e-15,deepseek,negative_minor,2.0,rank 2,1.0,tied for rank 1
USA,-1.8734878526339847,,deepseek,negative_minor,6.0,tied for rank 6,,not ranked
Argentina,0.0,0.0,deepseek,negative_minor,1.0,rank 1,1.0,tied for rank 1
