term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,coef_cluster_modelpersona,se_cluster_modelpersona,p_cluster_modelpersona,ci_low_cluster_modelpersona,ci_high_cluster_modelpersona,p_hc3_bh_adj,p_cluster_bh_adj,p_cluster_modelpersona_bh_adj
"C(country)[T.France]:C(model, Treatment(reference=""llama""))[T.qwen]",0.0370370370370107,0.016401559615472,0.023936859542357,0.0048905709003989,0.0691835031736226,0.0370370370370107,0.0117502564796795,0.0016214546894092,0.0140069575277304,0.0600671165462911,,,,,,"not_attempted (pooled model, see docstring)",0.0370370370370107,0.011276818073742,0.0010221726381486,0.014934879752266,0.0591391943217554,0.03322999324703678,0.002250960627650419,0.0014308844562369895
C(country)[T.Germany],0.0285714285714646,0.0118216746877957,0.0156546882315367,0.0054013719464361,0.0517414851964931,0.0285714285714646,0.0067508625061968,2.313511959838829e-05,0.015339981194737,0.0418028759481922,,,,,,"not_attempted (pooled model, see docstring)",0.0285714285714646,0.0067503936583143,2.3104892781235836e-05,0.0153409001197008,0.0418019570232283,0.02294724486113454,3.6158200167017464e-05,3.635169797581105e-05
"C(country)[T.Germany]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.0825396825397319,0.0181801088888461,5.622505797072635e-06,-0.1181720411968868,-0.046907323882577,-0.0825396825397319,0.0123261570167875,2.1375823963030825e-11,-0.1066985063604212,-0.0583808587190426,,,,,,"not_attempted (pooled model, see docstring)",-0.0825396825397319,0.0125510695673703,4.8227734795112147e-11,-0.1071393268592345,-0.0579400382202293,1.2585430516372888e-05,4.804470909785976e-11,1.034704128331497e-10
"C(country)[T.Germany]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.0820105820106254,0.014602225045937,1.9508167174974817e-08,-0.1106304171948107,-0.0533907468264401,-0.0820105820106254,0.0095360358127551,7.966701936006138e-18,-0.1007008687589096,-0.0633202952623411,,,,,,"not_attempted (pooled model, see docstring)",-0.0820105820106254,0.0094913476685476,5.5936967432527196e-18,-0.1006132816057269,-0.0634078824155238,5.7549093166175716e-08,2.5068555425299314e-17,1.8083731937090982e-17
"C(country)[T.Germany]:C(model, Treatment(reference=""llama""))[T.qwen]",-0.0005291005291482,0.016093980082489,0.9737737273523712,-0.0320727218587318,0.0310145208004352,-0.0005291005291482,0.0111213716742973,0.9620548654361756,-0.022326588469455,0.0212683874111584,,,,,,"not_attempted (pooled model, see docstring)",-0.0005291005291482,0.0109994565826373,0.9616346140204376,-0.0220876392806294,0.0210294382223328,0.9737737273523712,0.9620548654361756,0.9616346140204376
C(country)[T.India],0.0412698412698751,0.0122372911215913,0.0007449843794331,0.0172851914032243,0.0652544911365259,0.0412698412698751,0.008095343056838,3.433095597764734e-07,0.0254032604359761,0.0571364221037741,,,,,,"not_attempted (pooled model, see docstring)",0.0412698412698751,0.0080947808346861,3.426681475108418e-07,0.0254043623711451,0.0571353201686051,0.0012740312575812436,6.137958796003616e-07,6.035050956161094e-07
"C(country)[T.India]:C(model, Treatment(reference=""llama""))[T.gemma]",-0.052910052910095,0.0189718017039183,0.0052890877280946,-0.0900941009716106,-0.0157260048485795,-0.052910052910095,0.0114481354545863,3.8057524785304826e-06,-0.0753479860912204,-0.0304721197289696,,,,,,"not_attempted (pooled model, see docstring)",-0.052910052910095,0.0125088122757234,2.33875998753188e-05,-0.0774268744598854,-0.0283932313603047,0.008212004630462668,6.369911949880808e-06,3.655280510314727e-05
"C(country)[T.India]:C(model, Treatment(reference=""llama""))[T.ministral]",-0.123809523809559,0.0148633556902626,8.09448288944287e-17,-0.1529411656518822,-0.0946778819672357,-0.123809523809559,0.0106996084240686,5.7531387521832895e-31,-0.1447803709694149,-0.1028386766497031,,,,,,"not_attempted (pooled model, see docstring)",-0.123809523809559,0.0101719553934685,4.400723976397011e-34,-0.1437461900331053,-0.1038728575860127,4.152821656322864e-16,2.662236755912267e-30,2.163689288395197e-33
"C(country)[T.India]:C(model, Treatment(reference=""llama""))[T.qwen]",0.0084656084655652,0.0167273189241956,0.6127901285224608,-0.0243193341837734,0.041250551114904,0.0084656084655652,0.0113033470209939,0.4538891172752599,-0.013688544600341,0.0306197615314716,,,,,,"not_attempted (pooled model, see docstring)",0.0084656084655652,0.0120992835274137,0.4841281106513476,-0.0152485514869043,0.0321797684180348,0.6748796640191337,0.4982224729160992,0.5289547875635094
C(country)[T.Italy],0.0783068783068997,0.011781871550422,3.0037478721231615e-11,0.0552148343975953,0.1013989222162041,0.0783068783068997,0.006948331059182,1.8481525274456437e-29,0.0646883996782419,0.0919253569355576,,,,,,"not_attempted (pooled model, see docstring)",0.0783068783068997,0.0069478484970947,1.8317949183098656e-29,0.0646893454825534,0.0919244111312461,1.0905915351093325e-10,8.229509367493809e-29,8.313530783098621e-29
