term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(country)[T.Morocco],-0.0055555555553401,0.0096059005025341,0.5630290383085782,-0.0243827745793821,0.0132716634687019,-0.0055555555553401,0.0059052382544964,0.3468153978856112,-0.0171296098542812,0.006018498743601,-0.0055555555612786,0.0093143560287414,0.5508740796495968,-0.0238113579167953,0.012700246794238,converged (default),0.6255878203428646,0.3853504420951236,0.6222836825671371
C(country)[T.Nigeria],-0.0455026455024127,0.010383007299081,1.1737103792049828e-05,-0.0658529658598281,-0.0251523251449973,-0.0455026455024127,0.0077921570895967,5.234383817297992e-09,-0.0607749927599009,-0.0302302982449245,-0.0455026455083658,0.0093143560287414,1.033152792710818e-06,-0.0637584478638825,-0.0272468431528491,converged (default),1.956183965341638e-05,8.488189973996743e-09,1.9097672834957543e-06
C(country)[T.Pakistan],-0.0634920634917193,0.0107810769885194,3.8803802262715245e-09,-0.0846225861037709,-0.0423615408796676,-0.0634920634917193,0.0064495668908566,7.247624017604224e-23,-0.0761329823136802,-0.0508511446697584,-0.0634920634977864,0.0093143560287414,9.32325890716007e-12,-0.0817478658533031,-0.0452362611422697,converged (default),8.315100484867552e-09,1.8906845263315367e-22,2.4726904058120186e-11
C(country)[T.Poland],-0.0362433862430625,0.0082846425316034,1.215618817516791e-05,-0.0524809872297941,-0.0200057852563309,-0.0362433862430625,0.0057057905113691,2.1248369743267818e-10,-0.0474265301486765,-0.0250602423374485,-0.0362433862491033,0.0093143560287414,9.977774330038818e-05,-0.05449918860462,-0.0179875838935866,converged (default),1.971273758135337e-05,3.642577670274483e-10,0.00016016953529799155
C(country)[T.South Africa],-0.0124338624336386,0.0079934488397604,0.1198254637385881,-0.0281007342718325,0.0032330094045553,-0.0124338624336386,0.0056361805675024,0.0273784334858024,-0.0234805733563078,-0.0013871515109693,-0.0124338624395801,0.0093143560287414,0.1819045592472016,-0.0306896647950968,0.0058219399159365,converged (default),0.1437905564863057,0.033524612431594776,0.2175721198839078
C(country)[T.South Korea],0.0031746031749337,0.0080421375181647,0.6930302077943142,-0.0125876967193875,0.0189369030692549,0.0031746031749337,0.0058574939557434,0.587837152716183,-0.0083058740179844,0.0146550803678518,0.0031746031688808,0.0093143560287414,0.7332322754934504,-0.0150811991866358,0.0214304055243975,converged (default),0.7560329539574338,0.6412768938721997,0.8132212510018267
C(country)[T.Turkey],-0.0722222222217427,0.0095170115812332,3.2300612150448253e-14,-0.0908752221614104,-0.053569222282075,-0.0722222222217427,0.0064995610849618,1.0984549680057214e-28,-0.0849611278635861,-0.0594833165798993,-0.0722222222279454,0.0093143560287414,8.91398766079786e-15,-0.0904780245834621,-0.0539664198724287,converged (default),9.228746328699502e-14,3.138442765730633e-28,3.0208513739370524e-14
C(country)[T.USA],0.0428571428578466,0.0090758028882092,2.333846654014522e-06,0.0250688960661719,0.0606453896495213,0.0428571428578466,0.0071137290222495,1.6956210699063323e-09,0.0289144901784602,0.056799795537233,0.0428571428514225,0.0093143560287414,4.2007945666362425e-06,0.0246013404959058,0.0611129452069392,converged (default),4.118552918849157e-06,2.826035116510554e-09,7.536719663670906e-06
C(gender)[T.male],-0.0316269841269986,0.0036081996198025,1.8626528450048593e-18,-0.0386989254308426,-0.0245550428231545,-0.0316269841269986,0.0025436221737906,1.7121400939659307e-35,-0.0366123919779058,-0.0266415762760914,-0.031626984127319,0.0036074345779953,1.832166944971471e-18,-0.0386974259767742,-0.0245565422778637,converged (default),7.450611380019437e-18,5.707133646553103e-35,7.983013117375695e-18
C(gender)[T.neutral],-0.2731746031745489,0.0034994602301793,0.0,-0.2800334191910306,-0.2663157871580672,-0.2731746031745489,0.0025785085028224,0.0,-0.2782283869739111,-0.2681208193751867,-0.2731746031750335,0.0036074345779953,0.0,-0.2802450450244888,-0.2661041613255783,converged (default),0.0,0.0,0.0
C(profession)[T.administrative assistant],-0.0325396825396959,0.0107549818566894,0.0024818539696322,-0.053619059633189,-0.0114603054462028,-0.0325396825396959,0.0075530947265663,1.6464371017394816e-05,-0.0473434761755854,-0.0177358889038065,-0.0325396825482402,0.0114077097765179,0.0043386499135367,-0.0548983828563009,-0.0101809822401796,converged (default),0.0034630520506495816,2.2973540954504395e-05,0.006154828947110203
