term,coef_logit,odds_ratio,se_original,z_original,p_original,se_cluster,z_cluster,p_cluster,p_original_bh_adj,p_cluster_bh_adj
C(country)[T.Nigeria],-1.1245630795004533,0.3247943456690811,0.1187789986482594,-9.467692877514692,2.8609259080487508e-21,0.0875359643722982,-12.846869141894487,8.956224445532294e-38,6.6373481066731025e-21,2.3611864447312414e-37
C(country)[T.Pakistan],-1.7862829757826697,0.1675819194747137,0.1232845779791279,-14.489103220072566,1.4198441732562654e-47,0.0919537184143881,-19.42589170492062,4.662178233219039e-84,5.882211574918813e-47,2.0800487502054175e-83
C(country)[T.Poland],-0.7361763639353879,0.4789417176936008,0.1166213102117238,-6.312537242111869,2.7449737542453e-10,0.0888953337109152,-8.281383658780225,1.2175224443033632e-16,4.548813649892212e-10,2.1398879324119716e-16
C(country)[T.South Africa],-0.2018816888652899,0.8171916050892061,0.1141547243115207,-1.7684917561043556,0.0769787291790617,0.0842544783321252,-2.396094461228357,0.0165708191950796,0.08424087344123733,0.01848283679451186
C(country)[T.South Korea],-0.9165253867522404,0.3999061490604869,0.1175826679872504,-7.794732016555536,6.454531329207176e-15,0.0950966928714363,-9.637826080779847,5.534764904541233e-22,1.247876056980054e-14,1.1069529809082465e-21
C(country)[T.Turkey],-1.6116255252765448,0.199562955647725,0.1219828666787983,-13.211900729634673,7.490869464572228e-40,0.0935267411957819,-17.23170832930966,1.5354872160849996e-66,2.5557084055599366e-39,5.566141158308123e-66
C(country)[T.USA],0.7530664198230467,2.123501590612216,0.1110541961829763,6.7810712760666085,1.1928800341938532e-11,0.0950907144935104,7.919452743984172,2.3855820947620078e-15,2.096577029795257e-11,3.9532503284627555e-15
C(profession)[T.administrative assistant],0.1217151292512195,1.129432313719586,0.1487725402345038,0.8181289978605275,0.4132835324463657,0.106487732197972,1.1429967259039584,0.253039950437637,0.4280436586051644,0.26207709152469544
C(profession)[T.architect],1.470419224782353,4.351058830459342,0.1433312870929965,10.258885234375327,1.0794565213529103e-24,0.1214372014677915,12.108474232028057,9.524944818212813e-34,2.7221077494986433e-24,2.3018616644014298e-33
C(profession)[T.bank teller],-0.2731950986584242,0.7609443139311121,0.1509438018163677,-1.8099126653162123,0.070309331733123,0.0998592565421176,-2.7358014481431554,0.0062228560778073,0.07842194693309873,0.007076973578682812
C(profession)[T.business manager],0.8715324216633396,2.390571411467478,0.1454284891530914,5.992858942142239,2.061836855285838e-09,0.1106026532651836,7.879850943301803,3.2777184710577803e-15,3.232068583961584e-09,5.280768647815312e-15
C(profession)[T.cashier],-0.9337941803198851,0.3930595388192038,0.1555304555743255,-6.003931364257079,1.925961428876268e-09,0.1139301386175874,-8.196199808500321,2.4810580314527153e-16,3.102937857633987e-09,4.2323931124781616e-16
C(profession)[T.chef],0.088727072499663,1.0927823652629012,0.1489412757751962,0.5957184940028498,0.5513633012401777,0.1075157249734146,0.8252474000580152,0.4092311478253534,0.5610363416128125,0.4164106416468509
C(profession)[T.civil engineer],1.4795473390674772,4.390957616023911,0.1433030347860898,10.324605764811716,5.454240024366065e-25,0.1146151364512456,12.908830237242173,4.013517266953322e-38,1.4379360064237807e-24,1.1084952451585366e-37
C(profession)[T.computer programmer],0.6197768854669351,1.8585133342496505,0.1464554015190134,4.231847231571538,2.317798235595195e-05,0.1051186805397575,5.895972840265303,3.724802417112159e-09,2.860261652436624e-05,4.6964900041848955e-09
C(profession)[T.construction worker],-1.2675917515308397,0.281508749119802,0.1584725084364216,-7.998811680572287,1.2562567916848665e-15,0.1388870924597065,-9.126778659425025,7.056780288753653e-20,2.512513583369733e-15,1.2790414273365997e-19
C(profession)[T.doctor],2.62224739487331,13.766627893929288,0.1407199542409943,18.63451000262905,1.6869205111402886e-77,0.1039303328504201,25.230818789422457,1.8392949546786371e-140,1.2230173705767092e-76,1.333488842142012e-139
C(profession)[T.electrician],-0.5459507258302921,0.5792907747494961,0.1526689065833107,-3.576043989889776,0.0003488329783074,0.1052423375111005,-5.187557961383247,2.1306962021251581e-07,0.00042150651545477504,2.5745912442345663e-07
