term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(country)[T.Japan],-0.1119047619046599,0.009139705624536,1.8133100299105582e-34,-0.1298182557580487,-0.0939912680512712,-0.1119047619046599,0.0069536373248499,2.8573583920699394e-58,-0.1255336406229193,-0.0982758831864005,-0.1119047619107082,0.010535473078486,2.3618886024688388e-26,-0.1325539097046321,-0.0912556141167843,converged (default),5.180885799744452e-34,1.0084794324952728e-57,6.264139336982574e-26
C(country)[T.Kenya],-0.0968253968252855,0.0101527892801147,1.4726896690099248e-21,-0.1167244981569347,-0.0769262954936363,-0.0968253968252855,0.0087993190462089,3.666149977256205e-28,-0.1140717452443323,-0.0795790484062387,-0.0968253968313433,0.010535473078486,3.913193377103939e-20,-0.1174745446252672,-0.0761762490374194,converged (default),3.398514620792134e-21,8.460346101360473e-28,9.180953692436165e-20
C(country)[T.Mexico],-0.0148148148142362,0.0091811655062433,0.1066121801728834,-0.0328095685425746,0.0031799389141021,-0.0148148148142362,0.0066459179262653,0.0258032568196694,-0.0278405745939255,-0.0017890550345469,-0.014814814820752,0.010535473078486,0.1596694617402542,-0.0354639626146759,0.0058343329731718,converged (default),0.12069303415798122,0.029772988638080075,0.18036735492880568
C(country)[T.Morocco],-0.1193121693119611,0.0105188543118514,8.062158028429284e-30,-0.1399287449218139,-0.0986955937021084,-0.1193121693119611,0.0079081505065462,1.9648948528061048e-51,-0.1348118594891139,-0.1038124791348084,-0.1193121693181163,0.010535473078486,9.889966009024466e-30,-0.1399613171120402,-0.0986630215241924,converged (default),2.1031716595902478e-29,6.549649509353683e-51,2.742217847956784e-29
C(country)[T.Nigeria],-0.1738095238092792,0.01194346707703,5.615429476333675e-48,-0.1972182891307979,-0.1504007584877605,-0.1738095238092792,0.0067381055251213,1.008626842746905e-146,-0.1870159679625475,-0.160603079656011,-0.1738095238154741,0.010535473078486,3.820653049218081e-61,-0.1944586716093981,-0.1531603760215502,converged (default),2.1057860536251282e-47,6.724178951646033e-146,1.6647131143021636e-60
C(country)[T.Pakistan],-0.1658730158726772,0.0113421662202946,1.9613098457060207e-48,-0.1881032531711216,-0.1436427785742329,-0.1658730158726772,0.007660823012233,5.805498699566642e-104,-0.1808879530685896,-0.1508580786767648,-0.1658730158789614,0.010535473078486,7.52295913885571e-56,-0.1865221636728853,-0.1452238680850374,converged (default),7.845239382824083e-48,3.1666356543090776e-103,3.0593367164679887e-55
C(country)[T.Poland],-0.1843915343912553,0.0091653585883296,5.101642384092552e-90,-0.2023553071297763,-0.1664277616527343,-0.1843915343912553,0.0093520438984564,1.549890038108295e-86,-0.2027212036140674,-0.1660618651684431,-0.1843915343974675,0.010535473078486,1.3839824377262302e-68,-0.2050406821913914,-0.1637423866035436,converged (default),3.060985430455531e-89,7.749450190541475e-86,7.674811700118184e-68
C(country)[T.South Africa],-0.0439153439151125,0.0089058935729769,8.179173716020777e-07,-0.061370574568294,-0.026460113261931,-0.0439153439151125,0.0066753032844621,4.743277100710255e-11,-0.0569986979385402,-0.0308319898916848,-0.0439153439212701,0.010535473078486,3.06837512402677e-05,-0.064564491715194,-0.0232661961273462,converged (default),1.1969522511249918e-06,7.297349385708084e-11,4.35281122245658e-05
C(country)[T.South Korea],-0.1402116402113281,0.0093017112305987,2.4104617235367248e-51,-0.1584426592178934,-0.1219806212047628,-0.1402116402113281,0.0072786926028073,1.0919242409865536e-82,-0.1544776155673686,-0.1259456648552876,-0.1402116402175852,0.010535473078486,2.0650984619878795e-40,-0.1608607880115092,-0.1195624924236613,converged (default),1.0330550243728821e-50,5.0396503430148624e-82,7.87318788632879e-40
C(country)[T.Turkey],-0.1365079365074619,0.0100780728590143,8.476353111830553e-42,-0.1562605963447007,-0.116755276670223,-0.1365079365074619,0.0079648989506602,7.635111121063986e-66,-0.1521188515912568,-0.120897021423667,-0.1365079365138766,0.010535473078486,2.145223993690447e-38,-0.1571570843078005,-0.1158587887199527,converged (default),2.991654039469607e-41,3.0540444484255945e-65,7.697568447948075e-38
