model,topic,term,coef,se_cluster,p_cluster,ci_low,ci_high
qwen,gender equality,C(profession)[T.plumber],-6.7005562325403965,0.5599906837603068,5.388634366471206e-33,-7.798117804388557,-5.602994660692236
qwen,gender equality,C(profession)[T.police officer],0.8433473319845851,0.3803880252751856,0.02661822713654745,0.09780050229490955,1.5888941616742607
qwen,gender equality,C(profession)[T.real estate agent],-1.6083813669323674,0.4560389995918424,0.00042053416642544176,-2.502201381678055,-0.7145613521866799
qwen,gender equality,C(profession)[T.registered nurse],4.278562078665299,0.39256535450584873,1.165561107950554e-27,3.509148122255637,5.047976035074961
qwen,gender equality,C(profession)[T.social worker],9.58399198101131,1.1395798957925547,4.0962728659445516e-17,7.350456427751995,11.817527534270626
qwen,gender equality,C(profession)[T.truck driver],-9.58336991417607,1.1199368170192034,1.1577925730399383e-17,-11.778405740494133,-7.388334087858006
qwen,gender equality,C(profession)[T.veterinarian],0.24778935843730487,0.3599049388337347,0.49114705163262284,-0.45761135953490617,0.9531900764095159
qwen,gender equality,C(profession)[T.waiter],-4.109238765908287,0.48548313297444,2.5786024468302613e-17,-5.06076822163986,-3.157709310176715
qwen,gender equality,C(age)[T.45],-0.5611176164059851,0.13859533441999655,5.15240522057882e-05,-0.8327594802944629,-0.2894757525175074
qwen,gender equality,C(age)[T.65],-0.9871274226880811,0.14483044136694573,9.377620999586066e-12,-1.2709898716323347,-0.7032649737438275
qwen,lgbtq rights,Intercept,-0.44539110095607315,0.07060702211733282,2.8261236137703624e-10,-0.5837783213616685,-0.3070038805504778
qwen,lgbtq rights,C(gender)[T.male],-1.7791148564856831,0.11091669985938565,6.704729481409478e-58,-1.9965075934941179,-1.5617221194772484
qwen,lgbtq rights,C(gender)[T.neutral],-0.8776975965102103,0.08750430704271073,1.121344199233447e-23,-1.0492028868060579,-0.7061923062143627
qwen,lgbtq rights,C(age)[T.45],-0.4236894669759359,0.08744663537695141,1.265349942968479e-06,-0.5950817228839669,-0.2522972110679049
qwen,lgbtq rights,C(age)[T.65],-1.322828459350559,0.1055689599838607,5.0861747480268173e-36,-1.5297398188042761,-1.115917099896842
ministral,climate change,Intercept,-0.5470985380783467,0.07680301786512589,1.0529744638326965e-12,-0.6976296869979799,-0.39656738915871365
ministral,climate change,C(gender)[T.male],-4.798136773579076,0.4526082072865919,2.9455205063601854e-26,-5.6852325589680355,-3.9110409881901163
ministral,climate change,C(gender)[T.neutral],-1.3652789225771012,0.1048919270106248,9.916528562544194e-39,-1.57086332178693,-1.1596945233672724
ministral,climate change,C(age)[T.45],-0.6543581230598996,0.1079252587595375,1.3354962684308743e-09,-0.8658877432507591,-0.4428285028690401
ministral,climate change,C(age)[T.65],-1.4556690534095122,0.12886109748475083,1.366772047568119e-29,-1.7082321634879287,-1.2031059433310958
ministral,gender equality,Intercept,5.2933048247244745,0.334262668385174,1.7630389857899751e-56,4.638162033313278,5.948447616135671
ministral,gender equality,C(age)[T.45],-0.9011028620089525,0.397207862237989,0.02329310513249124,-1.6796159663715584,-0.12258975764634672
ministral,gender equality,C(age)[T.65],-2.636250608657245,0.3475711139629188,3.330503991220683e-14,-3.3174774740910324,-1.9550237432234576
ministral,lgbtq rights,Intercept,-1.5959920061324395,0.09968489838321769,1.0816642999007959e-57,-1.7913708167660813,-1.4006131954987977
