term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(country)[T.Japan],0.0429698342614369,0.0094779583521675,5.797050182723948e-06,0.024393377244218,0.0615462912786559,0.0429698342614369,0.0076819984572539,2.2244111382273794e-08,0.027913393955927,0.0580262745669469,0.0429698342609366,0.0104345536087861,3.8212027971263895e-05,0.0225184849929633,0.06342118352891,converged (default),7.561369803552975e-06,2.9014058324704945e-08,5.067247187493691e-05
C(country)[T.Kenya],-0.0761422767215544,0.0099411138517173,1.8690481759727028e-14,-0.0956265018371327,-0.0566580516059761,-0.0761422767215544,0.0076316733822379,1.919181635740965e-23,-0.0911000816925138,-0.0611844717505951,-0.0761422766975688,0.0105454752344399,5.184473361325947e-13,-0.0968110283569301,-0.0554735250382074,converged (default),3.115080293287838e-14,3.3867911218958204e-23,8.784802084468965e-13
C(country)[T.Mexico],-0.0168344206176575,0.0095683771041674,0.0785128215110762,-0.0355880951323234,0.0019192538970083,-0.0168344206176575,0.0072012751302179,0.0194028180127338,-0.0309486605156487,-0.0027201807196663,-0.0168344206090145,0.0105403510798054,0.1102344129753201,-0.037493129109841,0.003824287891812,converged (default),0.08122016018387193,0.020071880702828067,0.11593619295680219
C(country)[T.Morocco],-0.1457770413716773,0.0101927986070488,2.1271960406935134e-46,-0.165754559543163,-0.1257995232001916,-0.1457770413716773,0.0074183954350011,5.696380270187493e-86,-0.1603168292473559,-0.1312372534959988,-0.1457770413513213,0.0106039001831052,5.272523923476179e-43,-0.1665603038058653,-0.1249937788967773,converged (default),7.50775073185946e-46,2.2785521080749973e-85,1.891905643129688e-42
C(country)[T.Nigeria],-0.0305703833433825,0.0104172241065219,0.0033397817738727,-0.050987767411048,-0.0101529992757169,-0.0305703833433825,0.0079388649946611,0.0001177688340995,-0.0461302728110441,-0.0150104938757208,-0.0305703833371995,0.0105368096370599,0.0037162494664374,-0.0512221507377916,-0.0099186159366074,converged (default),0.003710868637636333,0.0001333232084145283,0.004277192782126064
C(country)[T.Pakistan],-0.1229860264814975,0.0106721470217197,9.984274950448652e-31,-0.1439030502817846,-0.1020690026812103,-0.1229860264814975,0.0077299994833462,5.382023428187246e-57,-0.1381365470693693,-0.1078355058936256,-0.1229860264554194,0.0106234709189782,5.401175126315929e-31,-0.1438076468474254,-0.1021644060634134,converged (default),2.6045934653344305e-30,1.4678245713237946e-56,1.4324855769794422e-30
C(country)[T.Poland],-0.0551533175241691,0.0093733838390692,4.003833841225715e-09,-0.0735248122620146,-0.0367818227863236,-0.0551533175241691,0.0074484060377861,1.3143327783933052e-13,-0.0697519251004606,-0.0405547099478776,-0.0551533175053049,0.0104589311221151,1.3397578017374618e-07,-0.0756524458214357,-0.0346541891891742,converged (default),5.8592690359400714e-09,1.83395271403717e-13,1.945838712047266e-07
C(country)[T.South Africa],0.0550290178482864,0.0095674200856232,8.834568470237227e-09,0.0362772190554996,0.0737808166410731,0.0550290178482864,0.0070821592472294,7.84301079560992e-15,0.0411482407909393,0.0689097949056334,0.0550290178611848,0.0103945356410995,1.196476285626225e-07,0.0346561023686117,0.0754019333537579,converged (default),1.2620812100338897e-08,1.176451619341488e-14,1.7801232542243837e-07
C(country)[T.South Korea],-0.0301208802594851,0.00985343190113,0.0022364460451842,-0.0494332519098181,-0.0108085086091521,-0.0301208802594851,0.0082469456086527,0.0002598331641273,-0.0462845966349051,-0.013957163884065,-0.0301208802775234,0.0104961239116725,0.004108424082661,-0.0506929051216713,-0.0095488554333756,converged (default),0.002531825711529283,0.00028870351569700004,0.004640997574857796
C(country)[T.Turkey],-0.0929800282397732,0.0103058333185017,1.845553668293798e-19,-0.1131790903747095,-0.0727809661048369,-0.0929800282397732,0.0078090508069464,1.0921408699807924e-32,-0.1082854865748317,-0.0776745699047147,-0.0929800282186235,0.0106024561198195,1.7919265358307913e-18,-0.1137604603611361,-0.0721995960761109,converged (default),3.954757860629567e-19,2.5203250845710593e-32,3.903839953059938e-18
