subset,term,coef,se_hc3,p_hc3,se_cluster,p_cluster
original_10,C(profession)[T.journalist],-0.11746031746033309,0.022947036292312532,3.075548729960778e-07,0.014928119580910197,3.5922447959776086e-15
original_10,C(profession)[T.lawyer],0.0269841269841193,0.022250970918611113,0.2252381018297781,0.01637137013843411,0.09930117798499824
original_10,C(profession)[T.mechanic],-0.09206349206350237,0.020317393174599872,5.863154177194629e-06,0.014366074244996828,1.4705858395743095e-10
original_10,C(profession)[T.paramedic],-0.05238095238095737,0.021634453800648185,0.015470125303953476,0.015949993264948257,0.0010231818484587834
original_10,C(profession)[T.pharmacist],0.042857142857142067,0.02007095040677432,0.032737967147836666,0.014362099681022302,0.0028446550723086068
original_10,C(profession)[T.plumber],-0.03492063492064625,0.01925790513015358,0.06978335769041849,0.01422689590007536,0.014106083678805437
original_10,C(profession)[T.police officer],0.006349206349186461,0.021988439426490782,0.7727711495346672,0.015842129987032827,0.6885822215527042
original_10,C(profession)[T.real estate agent],0.022222222222219472,0.01956264020901236,0.255976611882479,0.014330067551125873,0.12096378254762694
original_10,C(profession)[T.registered nurse],0.03809523809524531,0.020363732671518236,0.06138120365145076,0.015141945355381884,0.011873736834126406
original_10,C(profession)[T.social worker],-0.13492063492062287,0.024692800612482673,4.656114861166109e-08,0.017609355215672164,1.8324147448838188e-14
original_10,C(profession)[T.truck driver],-0.06984126984128552,0.019629306324527602,0.0003736749716267777,0.013688725845496855,3.359023544358674e-07
original_10,C(profession)[T.veterinarian],0.02698412698413272,0.020076591193326544,0.17892924601878757,0.013399047760212468,0.04402172093680744
original_10,C(profession)[T.waiter],-0.07301587301592553,0.018933080114531944,0.00011501093101366239,0.013320586515864387,4.2189977866038605e-08
original_10,C(country)[T.China],-0.13333333333312317,0.010322600511573805,3.6262582411218994e-38,0.007941334898747121,2.8987606233628666e-63
original_10,C(country)[T.Egypt],-0.14708994708988019,0.01408188532432205,1.5391823050858702e-25,0.008494621402365706,3.5841068925926434e-67
original_10,C(country)[T.France],-0.009523809523704367,0.011413978584682544,0.40405631844181,0.007382912165168242,0.1970575792872249
original_10,C(country)[T.Germany],-0.013756613756568867,0.011029976974523932,0.21232329307190256,0.007136489506878279,0.05389937705044551
original_10,C(country)[T.India],-0.0010582010580937244,0.011514365731557985,0.9267753629118828,0.00825124129770554,0.8979531118172911
original_10,C(country)[T.Japan],-0.030158730158658366,0.009403348531016655,0.001340183797383309,0.008197921933816646,0.00023430984945710354
original_10,C(country)[T.Kenya],-0.03174603174591183,0.010934584295165672,0.0036929013861450167,0.008870260622115544,0.00034500535635211726
original_10,C(country)[T.Mexico],-0.11693121693111286,0.011908491862310609,9.312938266894014e-23,0.009171232757482826,3.1261884424034316e-37
original_10,C(country)[T.USA],-0.022222222222062205,0.011787681911015476,0.05940187586581225,0.008843278888963284,0.011974531753282383
original_10,C(gender)[T.male],-0.07984126984128877,0.006445963456357745,3.102404043081284e-35,0.0041454516621319635,1.1644859504269153e-82
original_10,C(gender)[T.neutral],-0.32825396825399134,0.006748786833750408,0.0,0.0046365908271807236,0.0
original_10,C(age)[T.45],0.017142857142862532,0.0067274164109221895,0.010827785234330242,0.004701321900971749,0.00026594937129410914
original_10,C(age)[T.65],0.09428571428571118,0.006693982853979584,4.687005934503879e-45,0.00456303487265765,7.467678992010356e-95
original_10,"C(model, Treatment(reference=""llama""))[T.gemma]",-0.06037037036976606,0.027320558170342225,0.027125651728816254,0.01976656674212027,0.002256873804934152
