model,condition,country,mean_rating,sd_rating,n_answered,n_total,pct_answered
ministral,A_forced,Canada,3.464021164021164,0.5145081165414186,1890,1890,100.0
ministral,A_forced,China,3.3253968253968256,0.4731437231244943,1890,1890,100.0
ministral,A_forced,Egypt,3.2936507936507935,0.48917547633853975,1890,1890,100.0
ministral,A_forced,France,3.411111111111111,0.4975145566457992,1890,1890,100.0
ministral,A_forced,Germany,3.394708994708995,0.4921550205897897,1890,1890,100.0
ministral,A_forced,India,3.3656084656084655,0.48172782715123785,1890,1890,100.0
ministral,A_forced,Italy,3.3735449735449734,0.48822950666573023,1890,1890,100.0
ministral,A_forced,Japan,3.394708994708995,0.48891745780215445,1890,1890,100.0
ministral,A_forced,Kenya,3.344973544973545,0.47659750517189725,1890,1890,100.0
ministral,A_forced,Mexico,3.412169312169312,0.49663777208842863,1890,1890,100.0
ministral,A_forced,Morocco,3.3195767195767196,0.4776506723916989,1890,1890,100.0
ministral,A_forced,Nigeria,3.3195767195767196,0.5035478475977836,1890,1890,100.0
ministral,A_forced,Pakistan,3.295767195767196,0.49006332580187695,1890,1890,100.0
ministral,A_forced,Poland,3.344973544973545,0.4799181864485773,1890,1890,100.0
ministral,A_forced,South Africa,3.3666666666666667,0.4842134639453563,1890,1890,100.0
ministral,A_forced,South Korea,3.3656084656084655,0.48172782715123785,1890,1890,100.0
ministral,A_forced,Turkey,3.342857142857143,0.47922900594827994,1890,1890,100.0
ministral,A_forced,USA,3.3873015873015873,0.4937380447160418,1890,1890,100.0
ministral,B_optional,Argentina,4.0,0.0,366,1890,19.365079365079364
ministral,B_optional,Brazil,4.0,0.0,365,1890,19.312169312169313
ministral,B_optional,Canada,4.0,0.0,454,1890,24.021164021164022
ministral,B_optional,China,4.0,0.0,249,1890,13.174603174603174
ministral,B_optional,Egypt,4.0,0.0,242,1890,12.804232804232804
ministral,B_optional,France,4.0,0.0,364,1890,19.25925925925926
ministral,B_optional,Germany,4.0,0.0,378,1890,20.0
ministral,B_optional,India,4.0,0.0,312,1890,16.50793650793651
ministral,B_optional,Italy,4.0,0.0,296,1890,15.661375661375661
ministral,B_optional,Japan,4.0,0.0,274,1890,14.497354497354497
ministral,B_optional,Kenya,4.0,0.0,308,1890,16.296296296296298
ministral,B_optional,Mexico,4.0,0.0,284,1890,15.026455026455027
ministral,B_optional,Morocco,4.0,0.0,264,1890,13.968253968253968
ministral,B_optional,Nigeria,4.0,0.0,290,1890,15.343915343915343
ministral,B_optional,Pakistan,4.0,0.0,267,1890,14.126984126984127
ministral,B_optional,Poland,4.0,0.0,285,1890,15.079365079365079
ministral,B_optional,South Africa,4.0,0.0,311,1890,16.455026455026456
ministral,B_optional,South Korea,4.0,0.0,288,1890,15.238095238095237
ministral,B_optional,Turkey,4.0,0.0,274,1890,14.497354497354497
ministral,B_optional,USA,4.0,0.0,379,1890,20.052910052910054
qwen,A_forced,Argentina,3.4423280423280422,0.5608611679044869,1890,1890,100.0
qwen,A_forced,Brazil,3.422751322751323,0.5489398286515433,1890,1890,100.0
qwen,A_forced,Canada,3.5285714285714285,0.6108933234621937,1890,1890,100.0
qwen,A_forced,China,3.3656084656084655,0.5105372201749705,1890,1890,100.0
qwen,A_forced,Egypt,3.3058201058201058,0.46771692358942163,1890,1890,100.0
qwen,A_forced,France,3.5121693121693123,0.6327150006175044,1890,1890,100.0
qwen,A_forced,Germany,3.4703703703703703,0.617737097493988,1890,1890,100.0
qwen,A_forced,India,3.492063492063492,0.5590494051192512,1890,1890,100.0
