model,topic,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster
llama,gender equality,C(profession)[T.journalist],0.14999999999999858,0.02545248020833885,3.784773290114314e-09,0.025327266523554482,3.17139859508797e-09,0.10035946978698482,0.19964053021301234
llama,gender equality,C(profession)[T.lawyer],0.1388888888888924,0.025089856998489445,3.1006057195136117e-08,0.024966427241555345,2.6513606347816205e-08,0.08995559067280423,0.18782218710498055
llama,gender equality,C(profession)[T.mechanic],-0.0055555555555582,0.018494284426118068,0.763877321074223,0.018403301642457254,0.762744915576436,-0.04162536397140124,0.030514252860284842
llama,gender equality,C(profession)[T.paramedic],0.18888888888888353,0.026793852386574727,1.7929107022117724e-12,0.026662039810376646,1.3948419538435828e-12,0.13663225110617216,0.2411455266715949
llama,gender equality,C(profession)[T.pharmacist],0.08333333333333082,0.022730798491441148,0.00024627964341869925,0.022618974142147814,0.00022940179725993985,0.03900095864747834,0.1276657080191833
llama,gender equality,C(profession)[T.plumber],-0.01111111111111669,0.018829150810651632,0.5551225685862158,0.01873652064907027,0.5531684949462579,-0.047834016778885456,0.025611794556652072
llama,gender equality,C(profession)[T.police officer],0.05000000000000382,0.02125054781808288,0.018628618716437336,0.021146005574097217,0.018053805424851424,0.008554590657890042,0.09144540934211759
llama,gender equality,C(profession)[T.real estate agent],0.016666666666669643,0.01951630299962127,0.39311226009956957,0.019420292387219908,0.39077715374703914,-0.021396406981518765,0.054729740314858055
llama,gender equality,C(profession)[T.registered nurse],0.20000000000000684,0.027240065626096346,2.102269946297901e-13,0.02710605790021292,1.6017365367107812e-13,0.1468731027527321,0.25312689724728155
llama,gender equality,C(profession)[T.social worker],0.18888888888888614,0.02679385238657478,1.7929107022106883e-12,0.02666203981037672,1.3948419538427853e-12,0.13663225110617463,0.24114552667159764
