model,topic,term,coef,se_hc3,p_hc3,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster
llama,climate change,C(profession)[T.elementary school teacher],-2.928807713262305e-15,0.0006472587670301951,0.9999999999963897,0.0006440745722179107,0.9999999999963718,-0.001262362964908076,0.0012623629649022182
llama,climate change,C(profession)[T.farmer],0.016666666666670826,0.00945514846908533,0.07794973617780246,0.009408633788773933,0.07649045070837994,-0.0017739167030527171,0.035107250036394366
llama,climate change,C(profession)[T.flight attendant],-9.45453442234857e-15,0.0006472587670301841,0.9999999999883453,0.0006440745722179554,0.9999999999882877,-0.0012623629649146891,0.0012623629648957802
llama,climate change,C(profession)[T.hairdresser],-1.9984014443252818e-15,0.0006472587670301918,0.9999999999975365,0.0006440745722179487,0.9999999999975243,-0.00126236296490722,0.0012623629649032232
llama,climate change,C(profession)[T.janitor],-8.055124505626096e-15,0.0006472587670301903,0.9999999999900704,0.0006440745722179849,0.9999999999900212,-0.0012623629649133477,0.0012623629648972374
llama,climate change,C(profession)[T.journalist],0.01666666666666461,0.009392051031722623,0.07597217517013284,0.009345846759771084,0.07453368402905138,-0.00165085638751708,0.0349841897208463
llama,climate change,C(profession)[T.lawyer],2.5164732569436253e-15,0.0006472587670301918,0.9999999999968979,0.0006440745722179605,0.9999999999968826,-0.0012623629649027282,0.001262362964907761
llama,climate change,C(profession)[T.mechanic],-1.3322676295501878e-15,0.000647258767030192,0.9999999999983576,0.0006440745722179404,0.9999999999983495,-0.0012623629649065374,0.001262362964903873
llama,climate change,C(profession)[T.paramedic],-4.82103936774353e-15,0.0006472587670301954,0.9999999999940571,0.0006440745722179657,0.9999999999940277,-0.0012623629649100758,0.0012623629649004338
llama,climate change,C(profession)[T.pharmacist],-3.1086244689504383e-15,0.0006472587670301901,0.999999999996168,0.0006440745722180168,0.999999999996149,-0.0012623629649084636,0.0012623629649022464
llama,climate change,C(profession)[T.plumber],-5.424225197175018e-15,0.0006472587670301909,0.9999999999933135,0.0006440745722180181,0.9999999999932804,-0.0012623629649107819,0.0012623629648999333
llama,climate change,C(profession)[T.police officer],3.774758283725532e-15,0.0006472587670301862,0.9999999999953468,0.0006440745722179687,0.9999999999953239,-0.001262362964901486,0.0012623629649090354
llama,climate change,C(profession)[T.real estate agent],2.434664321895146e-15,0.0006472587670301956,0.9999999999969987,0.0006440745722180001,0.999999999996984,-0.0012623629649028876,0.001262362964907757
llama,climate change,C(profession)[T.registered nurse],6.661338147750939e-15,0.0006472587670301888,0.9999999999917885,0.000644074572217987,0.9999999999917479,-0.0012623629648986353,0.001262362964911958
llama,climate change,C(profession)[T.social worker],-2.6233517827064295e-15,0.0006472587670301904,0.9999999999967661,0.0006440745722179652,0.9999999999967502,-0.0012623629649078773,0.0012623629649026306
llama,climate change,C(profession)[T.truck driver],-7.549516567451064e-15,0.0006472587670301905,0.9999999999906936,0.0006440745722179592,0.9999999999906476,-0.0012623629649127918,0.0012623629648976927
llama,climate change,C(profession)[T.veterinarian],-2.7617584886651144e-15,0.0006472587670301899,0.9999999999965955,0.0006440745722179631,0.9999999999965787,-0.0012623629649080115,0.0012623629649024882
llama,climate change,C(profession)[T.waiter],-2.220446049250313e-15,0.0006472587670301892,0.9999999999972629,0.0006440745722179819,0.9999999999972493,-0.001262362964907507,0.001262362964903066
llama,climate change,C(age)[T.45],-0.002222222222221402,0.0015460382769154036,0.1506141404085487,0.0015384325289534034,0.14860633989026173,-0.005237494571614947,0.0007930501271721426
llama,climate change,C(age)[T.65],-0.0033333333333324796,0.0013469534635825947,0.01333404862027889,0.0013403271149898764,0.012884166460554972,-0.005960326206215113,-0.0007063404604498464
llama,economic redistribution,DEGENERATE_NO_VARIANCE,4.0,,,,,,
llama,gender equality,Intercept,5.0438888888888895,0.022995587583272817,0.0,0.02288246060187887,0.0,4.99904009023155,5.088737687546229
llama,gender equality,C(gender)[T.male],-0.7105555555555605,0.009436497259793045,0.0,0.009390074334258983,0.0,-0.728959763062862,-0.692151348048259
llama,gender equality,C(gender)[T.neutral],-0.9344444444444434,0.006089774879647714,0.0,0.006059816182265344,0.0,-0.9463214659146165,-0.9225674229742703
llama,gender equality,C(country)[T.Brazil],-0.06666666666667216,0.02301485295777108,0.0037713409735119626,0.022901631200204678,0.0036027309903900375,-0.11155303900629214,-0.021780294327052183
llama,gender equality,C(country)[T.Canada],0.08518518518517962,0.026772178772417648,0.0014633516899302834,0.02664047281974251,0.0013858340139576138,0.03297081792736608,0.13739955244299315
llama,gender equality,C(country)[T.China],-0.24814814814814004,0.02383269316486254,2.1837375993264683e-25,0.023715448035700946,1.269850873160937e-25,-0.2946295721753451,-0.201666724120935
llama,gender equality,C(country)[T.Egypt],-0.23333333333332915,0.023305484862126455,1.350646133509702e-23,0.02319083333852689,8.17875363542827e-24,-0.2787865314483126,-0.18788013521834565
llama,gender equality,C(country)[T.France],-0.07407407407407945,0.02282381018164948,0.0011725542383707397,0.022711528260585024,0.0011081712393846302,-0.11858785149868972,-0.029560296649469187
llama,gender equality,C(country)[T.Germany],-0.12962962962963526,0.021944961552780407,3.483223074365384e-09,0.021837003134740938,2.9163784222765315e-09,-0.17242936930401576,-0.08682988995525476
llama,gender equality,C(country)[T.India],-0.07407407407406986,0.023057928445314194,0.0013157563377072456,0.022944494777534744,0.0012448350040192761,-0.11904445748150533,-0.02910369066663441
llama,gender equality,C(country)[T.Italy],-0.12962962962962948,0.021726760283223873,2.4260770710144005e-09,0.021619875308117063,2.024180291288114e-09,-0.17200380658378572,-0.08725545267547324
llama,gender equality,C(country)[T.Japan],-0.1481481481481518,0.021948503134366082,1.480425037345606e-11,0.02184052729348702,1.1756198811545704e-11,-0.19095479504675042,-0.10534150124955319
llama,gender equality,C(country)[T.Kenya],-0.022222222222221262,0.024482724665770162,0.36405286785910584,0.024362281701317465,0.36168615322942954,-0.0699714169380227,0.025526972493580165
llama,gender equality,C(country)[T.Mexico],-0.0740740740740693,0.023864632741694123,0.0019097054750763023,0.023747230485522783,0.0018129843647275582,-0.12061779055826558,-0.027530357589873017
llama,gender equality,C(country)[T.Morocco],-0.2222222222222225,0.023163644957582708,8.508262672725518e-22,0.023049691216554907,5.365925006223653e-22,-0.2673987868614393,-0.17704565758300564
llama,gender equality,C(country)[T.Nigeria],-0.13703703703703557,0.02200897598559477,4.772263378639201e-10,0.02190070264802899,3.91955178146801e-10,-0.1799616254632934,-0.09411244861077775
llama,gender equality,C(country)[T.Pakistan],-0.18518518518518307,0.02144699209123441,5.895723556282589e-18,0.021341483438038378,4.05486926188042e-18,-0.22701372410039633,-0.1433566462699698
llama,gender equality,C(country)[T.Poland],-0.08518518518518482,0.022732701888788582,0.00017878174575539045,0.022620868175716284,0.00016603075630224152,-0.12952127210861702,-0.040849098261752634
llama,gender equality,C(country)[T.South Africa],-0.018518518518516904,0.024072498570897296,0.4417264463015249,0.023954073717077324,0.4394724868856018,-0.06546764028700595,0.02843060324997215
llama,gender equality,C(country)[T.South Korea],-0.12222222222221979,0.02221157935326785,3.741557313775352e-08,0.02210230930677593,3.2052397876915084e-08,-0.16554195243866507,-0.07890249200577451
