term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(country)[T.Japan],-0.0539132386871157,0.0071531171435669,4.8080596293850904e-14,-0.0679330906657029,-0.0398933867085285,-0.0539132386871157,0.0052261577718631,5.963380978355e-25,-0.0641563196974914,-0.0436701576767399,-0.053913245043118,0.0073904606572155,2.98708742812861e-13,-0.0683982817604207,-0.0394282083258152,converged (lbfgs),9.305921863325981e-14,1.0523613491214707e-24,5.781459538313438e-13
C(country)[T.Kenya],-0.097476435487641,0.0073316856364109,2.467185223967935e-40,-0.111846275280976,-0.083106595694306,-0.097476435487641,0.0050671385065547,1.814832192172156e-82,-0.1074078444651644,-0.0875450265101176,-0.0974764425515741,0.0073602312842374,4.909293970862878e-40,-0.1119022307865645,-0.0830506543165837,converged (lbfgs),8.707712555180946e-40,6.405290090019374e-82,1.73269198971631e-39
C(country)[T.Mexico],-0.03828956454251,0.0078742241673048,1.15826894136475e-06,-0.0537227603166224,-0.0228563687683975,-0.03828956454251,0.0059521043636143,1.2515432024337568e-10,-0.0499554747274178,-0.0266236543576022,-0.0382895745542607,0.0073807409960812,2.128291103897356e-07,-0.0527555610857983,-0.0238235880227231,converged (lbfgs),1.5443585884863334e-06,1.5977147265111789e-10,2.9022151416782126e-07
C(country)[T.Morocco],-0.1206857522215296,0.0075121920329875,4.465699613603343e-58,-0.1354093780511339,-0.1059621263919252,-0.1206857522215296,0.0051406127603044,7.020891444865281e-122,-0.1307611680901934,-0.1106103363528658,-0.1206857564770787,0.0073996440609018,8.424595095573934e-60,-0.1351887923348621,-0.1061827206192952,converged (lbfgs),2.061092129355389e-57,3.51044572243264e-121,4.212297547786967e-59
C(country)[T.Nigeria],-0.1195774367673738,0.0081049366348567,2.9144491830567778e-49,-0.1354628206686722,-0.1036920528660753,-0.1195774367673738,0.0051434281945715,1.4701359608570094e-119,-0.1296583707858019,-0.1094965027489456,-0.119577441647574,0.0073763122936565,4.216114385064095e-59,-0.1340347480818608,-0.1051201352132872,converged (lbfgs),1.1657796732227111e-48,6.78524289626312e-119,1.9458989469526593e-58
C(country)[T.Pakistan],-0.140980924794124,0.0079020625967904,3.3939055399721618e-71,-0.1564686828874143,-0.1254931667008336,-0.140980924794124,0.0051321468338335,3.990458992573563e-166,-0.1510397477518091,-0.1309221018364389,-0.1409809305767293,0.0073967975219171,5.456027517321871e-81,-0.1554783873206221,-0.1264834738328366,converged (lbfgs),1.6969527699860807e-70,2.394275395544138e-165,2.9760150094482937e-80
C(country)[T.Poland],-0.0965502846112118,0.0073051996533575,7.032478901214573e-40,-0.1108682128316671,-0.0822323563907564,-0.0965502846112118,0.0053726196492898,3.299099821248019e-72,-0.1070804256264521,-0.0860201435959714,-0.0965502935693109,0.0073800393239299,4.138909535404912e-39,-0.111014904848703,-0.0820856822899188,converged (lbfgs),2.344159633738191e-39,1.041820996183585e-71,1.3796365118016373e-38
C(country)[T.South Africa],-0.0758802284803972,0.0070900103258628,9.91602731836171e-27,-0.0897763933691054,-0.0619840635916889,-0.0758802284803972,0.0051481076020806,3.5974992613477e-49,-0.0859703339690121,-0.0657901229917822,-0.0758802372892089,0.0073569736511388,6.087668140015098e-25,-0.0902996406806513,-0.0614608338977665,converged (lbfgs),2.586789735224794e-26,8.63399822723448e-49,1.5880873408735039e-24
C(country)[T.South Korea],-0.0795009705807404,0.0070831706932912,3.1115028133907217e-29,-0.0933837300359409,-0.06561821112554,-0.0795009705807404,0.005286405074279,4.0914992664961937e-51,-0.0898621341340171,-0.0691398070274637,-0.0795009775671752,0.0073777304162754,4.478517607057503e-27,-0.0939610634707208,-0.0650408916636295,converged (lbfgs),8.890008038259206e-29,1.0673476347381374e-50,1.2795764591592866e-26
C(country)[T.Turkey],-0.0992643306923176,0.0075138633727793,7.598746173955456e-40,-0.1139912322877198,-0.0845374290969154,-0.0992643306923176,0.005149929349535,8.728281212565632e-83,-0.1093580067403322,-0.0891706546443031,-0.0992643379369446,0.0073903155034555,3.943729435397554e-41,-0.1137490901581054,-0.0847795857157838,converged (lbfgs),2.399604054933302e-39,3.273105454712112e-82,1.4788985382740827e-40
