term,coef_hc3,se_hc3,p_hc3,ci_low_hc3,ci_high_hc3,coef_cluster,se_cluster,p_cluster,ci_low_cluster,ci_high_cluster,coef_mixedlm,se_mixedlm,p_mixedlm,ci_low_mixedlm,ci_high_mixedlm,mixedlm_status,inferential_status,analysis_note,p_hc3_bh_adj,p_cluster_bh_adj,p_mixedlm_bh_adj
C(country)[T.Poland],-1.625429425195541,0.9835802249785912,0.0984195978913682,-3.553211242059384,0.3023523916683017,-1.625429425195541,0.7217218538830182,0.024312483587569,-3.039978265661736,-0.210880584729346,-1.570202554523063,0.8171512345850567,0.0546615421760455,-3.1717895442322153,0.0313844351860892,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.3280653263045607,0.05610573135592846,0.08918462144512686
C(country)[T.South Africa],-1.8734878526339855,3.2030168188267587,0.558605865064512,-8.151285459410488,4.404309754142517,-1.8734878526339855,0.6588983226010019,0.0044640038600042,-3.164904834405803,-0.582070870862168,-1.8003199540626869,0.7759081289237129,0.0203260251209483,-3.321071942065025,-0.2795679660603487,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.7270494529218846,0.014880012866680668,0.045007627053528385
C(country)[T.Turkey],-1.2528553217206546,0.912503893684383,0.1697566136011861,-3.041330089094612,0.5356194456533026,-1.2528553217206546,0.6476352777914134,0.0530507571175084,-2.5221971413094177,0.0164864978681087,-1.2376121931769164,0.5826628983822784,0.0336649491909154,-2.3796104891339036,-0.0956138972199294,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.36376417200254163,0.09361898314854425,0.06339992360703485
C(country)[T.USA],-1.873487852633984,5.5323537859526954,0.7348793703316868,-12.716702022835085,8.969726317567115,-1.873487852633984,0.658898322601002,0.0044640038600042,-3.1649048344058017,-0.5820708708621662,-1.8003199540626875,0.7759081289237127,0.0203260251209482,-3.321071942065026,-0.2795679660603498,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.8479377349981001,0.014880012866680668,0.045007627053528385
C(profession)[T.administrative assistant],0.2480584274384494,0.3609317644377828,0.4919111098256383,-0.4593548317360997,0.9554716866129984,0.2480584274384494,0.3064590126289359,0.4182653961476713,-0.3525902000519706,0.8487070549288694,0.2301173995396241,0.3670336113230923,0.5306818717891773,-0.4892552597693094,0.9494900588485576,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.7168442148626242,0.46473932905296805,0.6463556120077418
C(profession)[T.architect],1.5388066408924277,1.0654876962789206,0.1486749893724948,-0.5495108697848086,3.627124151569664,1.5388066408924277,0.6950272832902284,0.0268271720439766,0.1765781973708624,2.9010350844139925,1.449252561123784,0.5089512354398676,0.0044060308508884,0.4517264697744779,2.4467786524730903,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.3430961293211418,0.05748679723709271,0.01366341085863823
C(profession)[T.business manager],0.3103263573284305,0.4952905180309394,0.5309514942018501,-0.6604252198963969,1.281077934553258,0.3103263573284305,0.2835120297661531,0.2737010529370969,-0.2453470101970773,0.8659997248539384,0.3320639886108418,0.6803715778561059,0.625505430975234,-1.001439800091815,1.6655677773134987,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.7240247648207047,0.35700137339621335,0.6463556120077418
C(profession)[T.chef],0.4956362377538149,0.4051108417779349,0.2211566301605061,-0.2983664218776419,1.2896388973852717,0.4956362377538149,0.3413509432518948,0.1465059484347196,-0.1733993171086748,1.1646717926163046,0.4862336961316842,0.452829471438801,0.2829267742468099,-0.4012957590266748,1.3737631512900434,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.4423132603210122,0.20929421204959942,0.43853650008255535
C(profession)[T.civil engineer],0.307990902782151,0.3724732177072874,0.4083047021550372,-0.422043189129879,1.038024994694181,0.307990902782151,0.3325649680772893,0.3543901298333004,-0.3438244571690488,0.9598062627333508,0.3725949145461734,0.5518533785999269,0.4995676849648548,-0.7090178322564303,1.454207661348777,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.6446916349816377,0.4089116882691928,0.6463556120077418
C(profession)[T.computer programmer],2.698661020885493,0.6585829439848226,4.173147477339971e-05,1.4078621698428806,3.989459871928105,2.698661020885493,0.4729628243049771,1.1575516212379109e-08,1.7716709192213922,3.6256511225495935,2.723615343812465,0.5518992034985494,8.015613640139964e-07,1.6419127818589658,3.805317905765964,converged (default),NON-INFERENTIAL / EXPLORATORY ONLY,n=63 strict-valid rows; rank-deficient sparse design and numerically unstable coefficients/SEs/p-values. Do not interpret significance.,0.0012519442432019914,3.472654863713733e-07,2.4848402284433887e-05
