profession,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
civil engineer,lgbtq rights,0.0055555555555513,12.0,rank 12,0.2333333333333274,14,rank 14,0.0666666666666624,16,rank 16,0.1111111111111067,12.0,tied for rank 12,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
civil engineer,religion and secularism,-0.0777777777777788,16.0,rank 16,-0.0500000000000024,16,tied for rank 16,-0.0666666666666693,17,tied for rank 17,-1.9984014443252818e-15,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
civil engineer,trust in government,-0.0055555555555566,4.0,tied for rank 4,0.0055555555555535,5,tied for rank 5,-1.9984014443252818e-15,5,tied for rank 5,-2.220446049250313e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
computer programmer,climate change,-2.08041605486801e-15,3.0,tied for rank 3,0.0277777777777758,9,tied for rank 9,0.1777777777777753,13,rank 13,0.0388888888888869,1.0,tied for rank 1,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
computer programmer,economic redistribution,,,,0.0888888888888862,23,rank 23,-0.0500000000000008,17,tied for rank 17,-1.628392243813343e-15,4.0,tied for rank 4,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
computer programmer,gender equality,0.0888888888888866,7.0,rank 7,0.0555555555555528,1,tied for rank 1,0.0499999999999978,8,tied for rank 8,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
computer programmer,immigration,-0.0333333333333347,11.0,tied for rank 11,0.0277777777777751,16,tied for rank 16,0.0777777777777766,10,rank 10,0.1055555555555537,11.0,rank 11,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
computer programmer,lgbtq rights,0.0666666666666641,9.0,rank 9,0.3722222222222177,9,rank 9,0.166666666666664,10,rank 10,0.2444444444444408,4.0,rank 4,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
computer programmer,religion and secularism,-0.1944444444444449,22.0,rank 22,-0.1722222222222233,22,rank 22,-0.1222222222222235,21,rank 21,-0.1055555555555568,6.0,rank 6,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
computer programmer,trust in government,-0.3333333333333328,20.0,rank 20,-0.0944444444444445,14,rank 14,-0.0055555555555567,6,tied for rank 6,-1.5574851820305645e-15,1.0,tied for rank 1,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
