country,topic,coef_llama,rank_llama,rank_label_llama,coef_gemma,rank_gemma,rank_label_gemma,coef_qwen,rank_qwen,rank_label_qwen,coef_ministral,rank_ministral,rank_label_ministral,r2_llama,reliability_llama,r2_gemma,reliability_gemma,r2_qwen,reliability_qwen,r2_ministral,reliability_ministral
Mexico,climate change,4.1286418728248014e-16,3.0,tied for rank 3,0.0222222222222229,5,tied for rank 5,0.0185185185185206,8,tied for rank 8,-0.051851851851851,10.0,rank 10,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
Mexico,economic redistribution,,,,-0.025925925925925,5,rank 5,0.0296296296296316,6,rank 6,-0.0185185185185173,5.0,rank 5,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
Mexico,gender equality,-0.0740740740740693,7.0,tied for rank 7,0.0037037037037063,3,rank 3,-0.0370370370370346,9,rank 9,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
Mexico,immigration,-0.2703703703703689,18.0,rank 18,0.5962962962962951,1,rank 1,0.0444444444444479,7,rank 7,0.0814814814814846,2.0,rank 2,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
Mexico,lgbtq rights,-0.1222222222222201,7.0,rank 7,-0.4629629629629548,7,rank 7,-0.1259259259259228,9,rank 9,-0.2703703703703669,9.0,rank 9,0.4170611000984399,OK,0.8401412986666634,OK,0.6321367659772603,OK,0.6741636613446143,OK
Mexico,religion and secularism,0.1814814814814814,12.0,rank 12,0.159259259259258,7,rank 7,0.003703703703704,11,rank 11,0.0185185185185195,1.0,tied for rank 1,0.6211704893985865,OK,0.5806809272775824,OK,0.3342260596127966,OK,0.1108828716671854,LOW_R2
Mexico,trust in government,-0.2370370370370333,15.0,rank 15,0.02962962962963,13,rank 13,-0.0037037037037023,8,tied for rank 8,-0.0111111111111098,5.0,tied for rank 5,0.6356434168397304,OK,0.4250097666563125,OK,0.2688968251367911,OK,0.0885459906673156,LOW_R2
Morocco,climate change,-2.473438225097686e-15,3.0,tied for rank 3,0.0148148148148125,6,tied for rank 6,-0.1703703703703721,17,rank 17,0.0111111111111088,2.0,rank 2,0.0374165430267057,LOW_R2,0.3702430840063991,OK,0.5952311446450491,OK,0.3434865706988464,OK
Morocco,economic redistribution,,,,-0.051851851851853,8,rank 8,-0.0814814814814824,17,rank 17,-0.0296296296296321,8.0,tied for rank 8,,DEGENERATE_NO_VARIANCE,0.5473674846873738,OK,0.5679787271652188,OK,0.2632456047346799,OK
Morocco,gender equality,-0.2222222222222225,15.0,rank 15,-0.0629629629629666,12,rank 12,-0.1851851851851872,17,rank 17,,,,0.7512444587891239,OK,0.2276508160887945,OK,0.5153323031777381,OK,,DEGENERATE_NO_VARIANCE
Morocco,immigration,-0.0370370370370396,11.0,tied for rank 11,0.0925925925925904,6,rank 6,-0.0888888888888889,18,tied for rank 18,-0.1444444444444443,8.0,tied for rank 8,0.3969568522879252,OK,0.3726350576522469,OK,0.3398726858477495,OK,0.5158797091118408,OK
